,category,discounted_price,actual_price,discount_percentage,rating,rating_count,review_title
297,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",349.0,699.0,50.0,3.9,214.0,"Very nice and strong product,Good,Value for money,The remote is of OK quality,Good Product,Replaced item is not working ..we want to return this item as soon as possible,Good remote,Iska work"
298,"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",1850.0,4500.0,59.0,4.0,184.0,"A Good Product.,Does the job,Overpriced Item,A bit over priced,Recommended,There is not fit to my tv so that why I return it,Nice product,Not worth !"
299,"Electronics|HomeTheater,TV&Video|Projectors",13990.0,28900.0,52.0,4.5,7.0,"Very nice and good product at this price,Nothing,Good product for the budget,It's Perfect! Must Buy!! 😊"
300,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,129.0,449.0,71.0,3.7,41.0,"Nice,सानदार है,Received damaged product,Good quality product,It's very good.,101% fake lava usb,Average product,Costless"
301,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",379.0,999.0,62.0,4.2,12153.0,"Cheap product and same is the performance but does the job,Good,No Box!!!,Good,Value for money,A very good quality cable with rubust built, and it does the work.,Value money,Good product."
302,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",185.0,499.0,63.0,4.2,25.0,"Ok,Excellent product, must buy,Nice,Good product..i got this product rs 170,Good,Good Product. 5Meter cable. Purchase at 175.,Good product & service"
303,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,218.0,999.0,78.0,4.2,163.0,"Thank you,Satisfying product,Keeps disconnecting,Very nice product essy to use,Very nice,Nice and compatible product,Good,Solid product hai"
304,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,999.0,80.0,4.3,87.0,"Good product,Good,  work fine,Thickness of cable to be reduced.,Morho,This product is very good.,original product,USB ke pass or mjbuti Dena chahiye,Good product"
305,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",499.0,900.0,45.0,4.4,2165.0,"Sturdy,Super,Working good,Always go for quality,Not suitable for 4k,I do not want this product,Working well👍,Excellent one. Worth buying"
306,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",26999.0,42999.0,37.0,4.2,1510.0,"Kodak tv,Kodak tv,Kodak tv,Very less features to control or configure picture, sound or other key features through remote.,Excellent,Kodak 32inh,Kodak tv,Good"
307,"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",893.0,1052.0,15.0,4.3,106.0,"Concept is great but not at all value for money,Good product,You go for it,Perfect,Value for money but little bit expensive,Product is very useful, but very costly.,Nice but a little bit weak,100% satisfied 💐"
308,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",10990.0,19990.0,45.0,3.7,129.0,"Service, Quality, Software,Quality super, delivery persons were not good towards amazon,Good Quality as always by Sansui,OK,Good picture and product,Very bad quality of stand,This is average product.,Worth purchase"
309,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,379.0,1099.0,66.0,4.3,3049.0,"Good And Durable,Value for money product.,Right choice,Good product.,Charger is good,Cable is working as expected.,The best cable till now,Good 👍"
310,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",16999.0,25999.0,35.0,4.2,32840.0,"It is the best tv if you are getting it in 10-12k,Good price but the OS lags,GARBAGE QUALITY,Good product.,Good quality,Great experience everything is fantastic 🤠,Super picture quality and sound quality,Awesome"
311,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",699.0,1899.0,63.0,4.4,390.0,"Great value for ultra hi speed HDMI!,thickness,material,Works well, just plug and play,Good,Good product,Perfect cable and I'm getting 120Hz 4k when connected to my freesync-certified TV 55Q80T,Good Cable,Little expensive"
312,"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",2699.0,3500.0,23.0,3.5,621.0,"Really great device, love using it.,Superb,Good,Good product,Good product nice to have it...,Good VR set at this price range,Amazing product ☺️,Don't buy"
313,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,129.0,599.0,78.0,4.1,265.0,"Best,Good,Fast Charging works better than original cable!!,Durable cable,Low performance compare to original data cable,Great!,Good product,Fast charging and length is 3 meters above"
314,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,389.0,999.0,61.0,4.3,838.0,"Used for 10 months,Quality is good,Good Aftersale Service,Super fast charging suppurt,Superb Quality and value for money,Good small cable,Nice,Highly recommended"
315,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",246.0,600.0,59.0,4.2,143.0,"Cover is perfect size wise and it's exactly same as shown in picture.u can go for it.,Superb quality 👌,Price very high,Value for money,Perfect Snug Fit,Must buy,Nice,It's a good and solid fit"
